"Date","Passage"
"2026-01-01","Gen 1-3"
"2026-01-02","Gen 4-7"
"2026-01-03","Gen 8-11"
"2026-01-04","Gen 12-15"
"2026-01-05","Gen 16-18"
"2026-01-06","Gen 19-21"
"2026-01-07","Gen 22-24"
"2026-01-08","Gen 25-26"
"2026-01-09","Gen 27-29"
"2026-01-10","Gen 30-31"
"2026-01-11","Gen 32-33"
"2026-01-12","Gen 34-36"
"2026-01-13","Gen 37-39"
"2026-01-14","Gen 40-41"
"2026-01-15","Gen 42-44"
"2026-01-16","Gen 45-46"
"2026-01-17","Gen 47-49"
"2026-01-18","Gen 50; Ex 1-3"
"2026-01-19","Ex 4-6"
"2026-01-20","Ex 7-8"
"2026-01-21","Ex 9-11"
"2026-01-22","Ex 12-13"
"2026-01-23","Ex 14-16"
"2026-01-24","Ex 17-20"
"2026-01-25","Ex 21-22"
"2026-01-26","Ex 23-25"
"2026-01-27","Ex 26-28"
"2026-01-28","Ex 29"
"2026-01-29","Ex 30-32"
"2026-01-30","Ex 33-35"
"2026-01-31","Ex 36-38"
"2026-02-01","Ex 39-40"
"2026-02-02","Lev 1-4"
"2026-02-03","Lev 5-6"
"2026-02-04","Lev 7-9"
"2026-02-05","Lev 10-12"
"2026-02-06","Lev 13"
"2026-02-07","Lev 14-15"
"2026-02-08","Lev 16-17"
"2026-02-09","Lev 18-20"
"2026-02-10","Lev 21-23"
"2026-02-11","Lev 24-25"
"2026-02-12","Lev 26-27"
"2026-02-13","Num 1-2"
"2026-02-14","Num 3"
"2026-02-15","Num 4-6"
"2026-02-16","Num 7"
"2026-02-17","Num 8-10"
"2026-02-18","Num 11-13"
"2026-02-19","Num 14-15"
"2026-02-20","Num 16-17"
"2026-02-21","Num 18-20"
"2026-02-22","Num 21-22"
"2026-02-23","Num 23-25"
"2026-02-24","Num 26-28"
"2026-02-25","Num 29-30"
"2026-02-26","Num 31-32"
"2026-02-27","Num 33-35"
"2026-02-28","Num 36; Deut 1"
"2026-03-01","Deut 2-3"
"2026-03-02","Deut 4-6"
"2026-03-03","Deut 7-9"
"2026-03-04","Deut 10-11"
"2026-03-05","Deut 12-14"
"2026-03-06","Deut 15-17"
"2026-03-07","Deut 18-20"
"2026-03-08","Deut 21-23"
"2026-03-09","Deut 24-26"
"2026-03-10","Deut 27-28"
"2026-03-11","Deut 29-30"
"2026-03-12","Deut 31-32"
"2026-03-13","Deut 33-34; Josh 1-2"
"2026-03-14","Josh 3-5"
"2026-03-15","Josh 6-7"
"2026-03-16","Josh 8-10"
"2026-03-17","Josh 11-12"
"2026-03-18","Josh 13-16"
"2026-03-19","Josh 17-19"
"2026-03-20","Josh 20-22"
"2026-03-21","Josh 23-24"
"2026-03-22","Jdg 1-3"
"2026-03-23","Jdg 4-5"
"2026-03-24","Jdg 6-7"
"2026-03-25","Jdg 8-9"
"2026-03-26","Jdg 10-12"
"2026-03-27","Jdg 13-15"
"2026-03-28","Jdg 16-18"
"2026-03-29","Jdg 19"
"2026-03-30","Jdg 20-21; Rut 1"
"2026-03-31","Rut 2-4"
"2026-04-01","1 Sa 1-3"
"2026-04-02","1 Sa 4-7"
"2026-04-03","1 Sa 8-9"
"2026-04-04","1 Sa 10-13"
"2026-04-05","1 Sa 14"
"2026-04-06","1 Sa 15-16"
"2026-04-07","1 Sa 17-19"
"2026-04-08","1 Sa 20-21"
"2026-04-09","1 Sa 22-24"
"2026-04-10","1 Sa 25-26"
"2026-04-11","1 Sa 27-30"
"2026-04-12","1 Sa 31; 2 Sa 1-2"
"2026-04-13","2 Sa 3-5"
"2026-04-14","2 Sa 6-8"
"2026-04-15","2 Sa 9-11"
"2026-04-16","2 Sa 12-13"
"2026-04-17","2 Sa 14-15"
"2026-04-18","2 Sa 16-18"
"2026-04-19","2 Sa 19"
"2026-04-20","2 Sa 20-22"
"2026-04-21","2 Sa 23-24"
"2026-04-22","1 Kgs 1-2"
"2026-04-23","1 Kgs 3-4"
"2026-04-24","1 Kgs 5-7"
"2026-04-25","1 Kgs 8"
"2026-04-26","1 Kgs 9-10"
"2026-04-27","1 Kgs 11-12"
"2026-04-28","1 Kgs 13-14"
"2026-04-29","1 Kgs 15-16"
"2026-04-30","1 Kgs 17-18"
"2026-05-01","1 Kgs 19-20"
"2026-05-02","1 Kgs 21-22"
"2026-05-03","2 Kgs 1-3"
"2026-05-04","2 Kgs 4"
"2026-05-05","2 Kgs 5-7"
"2026-05-06","2 Kgs 8-9"
"2026-05-07","2 Kgs 10-11"
"2026-05-08","2 Kgs 12-14"
"2026-05-09","2 Kgs 15-16"
"2026-05-10","2 Kgs 17-18"
"2026-05-11","2 Kgs 19-20"
"2026-05-12","2 Kgs 21-23"
"2026-05-13","2 Kgs 24-25"
"2026-05-14","1 Chr 1-3"
"2026-05-15","1 Chr 4-6"
"2026-05-16","1 Chr 7-8"
"2026-05-17","1 Chr 9-11"
"2026-05-18","1 Chr 12-15"
"2026-05-19","1 Chr 16-18"
"2026-05-20","1 Chr 19-22"
"2026-05-21","1 Chr 23-25"
"2026-05-22","1 Chr 26-28"
"2026-05-23","1 Chr 29; 2 Chr 1-2"
"2026-05-24","2 Chr 3-5"
"2026-05-25","2 Chr 6-8"
"2026-05-26","2 Chr 9-12"
"2026-05-27","2 Chr 13-16"
"2026-05-28","2 Chr 17-19"
"2026-05-29","2 Chr 20-22"
"2026-05-30","2 Chr 23-25"
"2026-05-31","2 Chr 26-28"
"2026-06-01","2 Chr 29-30"
"2026-06-02","2 Chr 31-32"
"2026-06-03","2 Chr 33-35"
"2026-06-04","2 Chr 36; Ezr 1-2"
"2026-06-05","Ezr 3-5"
"2026-06-06","Ezr 6-7"
"2026-06-07","Ezr 8-10"
"2026-06-08","Neh 1-3"
"2026-06-09","Neh 4-6"
"2026-06-10","Neh 7-9"
"2026-06-11","Neh 10-11"
"2026-06-12","Neh 12-13"
"2026-06-13","Est 1-4"
"2026-06-14","Est 5-8"
"2026-06-15","Est 9-10; Job 1-2"
"2026-06-16","Job 3-8"
"2026-06-17","Job 9-13"
"2026-06-18","Job 14-18"
"2026-06-19","Job 19-23"
"2026-06-20","Job 24-29"
"2026-06-21","Job 30-33"
"2026-06-22","Job 34-38"
"2026-06-23","Job 39-42; Ps 1"
"2026-06-24","Ps 2-10"
"2026-06-25","Ps 11-18"
"2026-06-26","Ps 19-26"
"2026-06-27","Ps 27-34"
"2026-06-28","Ps 35-39"
"2026-06-29","Ps 40-47"
"2026-06-30","Ps 48-55"
"2026-07-01","Ps 56-63"
"2026-07-02","Ps 64-69"
"2026-07-03","Ps 70-76"
"2026-07-04","Ps 77-80"
"2026-07-05","Ps 81-88"
"2026-07-06","Ps 89-96"
"2026-07-07","Ps 97-104"
"2026-07-08","Ps 105-107"
"2026-07-09","Ps 108-117"
"2026-07-10","Ps 118-119"
"2026-07-11","Ps 120-133"
"2026-07-12","Ps 134-142"
"2026-07-13","Ps 143-150; Pro 1"
"2026-07-14","Pro 2-6"
"2026-07-15","Pro 7-11"
"2026-07-16","Pro 12-15"
"2026-07-17","Pro 16-19"
"2026-07-18","Pro 20-24"
"2026-07-19","Pro 25-28"
"2026-07-20","Pro 29-31; Ecc 1"
"2026-07-21","Ecc 2-6"
"2026-07-22","Ecc 7-10"
"2026-07-23","Ecc 11-12; Sos 1-4"
"2026-07-24","Sos 5-8; Isa 1"
"2026-07-25","Isa 2-5"
"2026-07-26","Isa 6-9"
"2026-07-27","Isa 10-13"
"2026-07-28","Isa 14-18"
"2026-07-29","Isa 19-23"
"2026-07-30","Isa 24-27"
"2026-07-31","Isa 28-30"
"2026-08-01","Isa 31-34"
"2026-08-02","Isa 35-37"
"2026-08-03","Isa 38-41"
"2026-08-04","Isa 42-44"
"2026-08-05","Isa 45-48"
"2026-08-06","Isa 49-51"
"2026-08-07","Isa 52-56"
"2026-08-08","Isa 57-60"
"2026-08-09","Isa 61-64"
"2026-08-10","Isa 65-66; Jer 1"
"2026-08-11","Jer 2-4"
"2026-08-12","Jer 5-6"
"2026-08-13","Jer 7-9"
"2026-08-14","Jer 10-12"
"2026-08-15","Jer 13-15"
"2026-08-16","Jer 16-18"
"2026-08-17","Jer 19-22"
"2026-08-18","Jer 23-24"
"2026-08-19","Jer 25-27"
"2026-08-20","Jer 28-29"
"2026-08-21","Jer 30-31"
"2026-08-22","Jer 32-33"
"2026-08-23","Jer 34-36"
"2026-08-24","Jer 37-39"
"2026-08-25","Jer 40-42"
"2026-08-26","Jer 43-45"
"2026-08-27","Jer 46-48"
"2026-08-28","Jer 49-50"
"2026-08-29","Jer 51"
"2026-08-30","Jer 52; Lam 1"
"2026-08-31","Lam 2-4"
"2026-09-01","Lam 5; Eze 1-3"
"2026-09-02","Eze 4-6"
"2026-09-03","Eze 7-10"
"2026-09-04","Eze 11-13"
"2026-09-05","Eze 14-16"
"2026-09-06","Eze 17-18"
"2026-09-07","Eze 19-20"
"2026-09-08","Eze 21-22"
"2026-09-09","Eze 23-24"
"2026-09-10","Eze 25-27"
"2026-09-11","Eze 28-30"
"2026-09-12","Eze 31-32"
"2026-09-13","Eze 33-35"
"2026-09-14","Eze 36-37"
"2026-09-15","Eze 38-39"
"2026-09-16","Eze 40-42"
"2026-09-17","Eze 43-44"
"2026-09-18","Eze 45-46"
"2026-09-19","Eze 47-48; Dan 1"
"2026-09-20","Dan 2-3"
"2026-09-21","Dan 4-5"
"2026-09-22","Dan 6-7"
"2026-09-23","Dan 8-9"
"2026-09-24","Dan 10-11"
"2026-09-25","Dan 12; Hos 1-4"
"2026-09-26","Hos 5-10"
"2026-09-27","Hos 11-14; Joe 1"
"2026-09-28","Joe 2-3; Amo 1-2"
"2026-09-29","Amo 3-7"
"2026-09-30","Amo 8-9; Oba; Jon 1"
"2026-10-01","Jon 2-4; Mic 1-3"
"2026-10-02","Mic 4-7; Nah 1"
"2026-10-03","Nah 2-3; Hab 1-3"
"2026-10-04","Zep 1-3; Hag 1"
"2026-10-05","Hag 2; Zec 1-4"
"2026-10-06","Zec 5-9"
"2026-10-07","Zec 10-14"
"2026-10-08","Mal 1-4"
"2026-10-09","Mat 1-4"
"2026-10-10","Mat 5-7"
"2026-10-11","Mat 8-9"
"2026-10-12","Mat 10-12"
"2026-10-13","Mat 13-14"
"2026-10-14","Mat 15-17"
"2026-10-15","Mat 18-20"
"2026-10-16","Mat 21-22"
"2026-10-17","Mat 23-24"
"2026-10-18","Mat 25-26"
"2026-10-19","Mat 27-28"
"2026-10-20","Mk 1-3"
"2026-10-21","Mk 4-5"
"2026-10-22","Mk 6-8"
"2026-10-23","Mk 9-10"
"2026-10-24","Mk 11-12"
"2026-10-25","Mk 13-14"
"2026-10-26","Mk 15-16"
"2026-10-27","Luk 1-2"
"2026-10-28","Luk 3-4"
"2026-10-29","Luk 5-6"
"2026-10-30","Luk 7-8"
"2026-10-31","Luk 9"
"2026-11-01","Luk 10-11"
"2026-11-02","Luk 12-13"
"2026-11-03","Luk 14-16"
"2026-11-04","Luk 17-19"
"2026-11-05","Luk 20-21"
"2026-11-06","Luk 22-23"
"2026-11-07","Luk 24; John 1"
"2026-11-08","John 2-4"
"2026-11-09","John 5-6"
"2026-11-10","John 7"
"2026-11-11","John 8-9"
"2026-11-12","John 10-11"
"2026-11-13","John 12-14"
"2026-11-14","John 15-17"
"2026-11-15","John 18-19"
"2026-11-16","John 20-21; Acts 1"
"2026-11-17","Acts 2-4"
"2026-11-18","Acts 5-7"
"2026-11-19","Acts 8-9"
"2026-11-20","Acts 10-11"
"2026-11-21","Acts 12-13"
"2026-11-22","Acts 14-16"
"2026-11-23","Acts 17-19"
"2026-11-24","Acts 20-21"
"2026-11-25","Acts 22-23"
"2026-11-26","Acts 24-26"
"2026-11-27","Acts 27-28; Rom 1"
"2026-11-28","Rom 2-4"
"2026-11-29","Rom 5-8"
"2026-11-30","Rom 9-11"
"2026-12-01","Rom 12-15"
"2026-12-02","Rom 16; 1 Co 1-3"
"2026-12-03","1 Co 4-7"
"2026-12-04","1 Co 8-11"
"2026-12-05","1 Co 12-14"
"2026-12-06","1 Co 15-16; 2 Co 1"
"2026-12-07","2 Co 2-6"
"2026-12-08","2 Co 7-10"
"2026-12-09","2 Co 11-13; Gal 1-2"
"2026-12-10","Gal 3-5"
"2026-12-11","Gal 6; Eph 1-4"
"2026-12-12","Eph 5-6; Phil 1"
"2026-12-13","Phil 2-4; Col 1"
"2026-12-14","Col 2-4; 1 Th 1-2"
"2026-12-15","1 Th 3-5; 2 Th 1-3"
"2026-12-16","1 Ti 1-6"
"2026-12-17","2 Ti 1-4; Tit 1"
"2026-12-18","Tit 2-3; Phlm; Heb 1-3"
"2026-12-19","Heb 4-8"
"2026-12-20","Heb 9-10"
"2026-12-21","Heb 11-13; Jam 1"
"2026-12-22","Jam 2-5"
"2026-12-23","1 Pe 1-5"
"2026-12-24","2 Pe 1-3; 1 Jn 1"
"2026-12-25","1 Jn 2-5"
"2026-12-26","2 Jn; 3 Jn; Jude; Rev 1-2"
"2026-12-27","Rev 3-6"
"2026-12-28","Rev 7-10"
"2026-12-29","Rev 11-15"
"2026-12-30","Rev 16-18"
"2026-12-31","Rev 19-22"